date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:59	105/105	---MCZ	200	added ('OK')	text/plain	date:Fri,%2005%20Feb%202021%2007:37:49%20GMT	https://junoon.me/robots.txt		(from )
13:08:00	67568/67568	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2007:37:50%20GMT	https://junoon.me/	C:/Users/vikrant/Website/junoon/junoon.me/index.html	(from )
13:08:00	3069/3069	---MCZ	200	added ('OK')	image/png	etag:W/%225f8944c7-bfd%22	https://junoon.me/wp-content/themes/junoon/images/apple-touch-icon.png	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/images/apple-touch-icon.png	(from https://junoon.me/)
13:08:00	2141/2141	---MCZ	200	added ('OK')	image/png	etag:W/%225f9437a4-85d%22	https://junoon.me/wp-content/themes/junoon/images/favicon-32x32.png	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/images/favicon-32x32.png	(from https://junoon.me/)
13:08:01	1482/1482	---MCZ	200	added ('OK')	image/png	etag:W/%225f9437a4-5ca%22	https://junoon.me/wp-content/themes/junoon/images/favicon-16x16.png	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/images/favicon-16x16.png	(from https://junoon.me/)
13:08:01	361/361	---M--	200	added ('OK')	application/octet-stream	etag:%225f894692-169%22	https://junoon.me/wp-content/themes/junoon/site.webmanifest	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/site.webmanifest	(from https://junoon.me/)
13:08:01	4496/4496	---MCZ	200	added ('OK')	text/css	etag:W/%2257c00421-1190%22	https://junoon.me/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector.css?v=3.5.1.1	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector49c8.css	(from https://junoon.me/)
13:08:02	30068/30068	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Feb%202021%2007:37:52%20GMT	https://junoon.me/junoon.me	C:/Users/vikrant/Website/junoon/junoon.me/junoon.me	(from https://junoon.me/)
13:08:02	59637/59637	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225f86ef1f-e8f5%22	https://junoon.me/wp-content/themes/junoon/images/junoon-og-image.jpg	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/images/junoon-og-image.jpg	(from https://junoon.me/)
13:08:04	74966/74966	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2007:37:53%20GMT	https://junoon.me/hi/	C:/Users/vikrant/Website/junoon/junoon.me/hi/index.html	(from https://junoon.me/)
13:08:04	18409/18409	---MC-	200	added ('OK')	application/rss+xml	etag:%22b9cfef8e31a913dec302b973c00c3cca%22	https://junoon.me/feed	C:/Users/vikrant/Website/junoon/junoon.me/feed	(from https://junoon.me/)
13:08:04	688/688	---MC-	200	added ('OK')	application/rss+xml	etag:%220504b3e1e91811ebcc3141d9370ab857%22	https://junoon.me/comments/feed	C:/Users/vikrant/Website/junoon/junoon.me/comments/feed	(from https://junoon.me/)
13:08:04	6594/6594	---MCZ	200	added ('OK')	text/css	etag:W/%225f7da7af-19c2%22	https://junoon.me/wp-content/plugins/post-category-image-with-grid-and-slider/assets/css/categoryimage-public.css?ver=1.3.2	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/plugins/post-category-image-with-grid-and-slider/assets/css/categoryimage-public9e1e.css	(from https://junoon.me/)
13:08:04	28266/28266	---MCZ	200	added ('OK')	text/css	etag:W/%22592d9510-6e6a%22	https://junoon.me/wp-content/themes/junoon/genericons/genericons.css?ver=3.4.1	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/genericons/genericons5589.css	(from https://junoon.me/)
13:08:05	70303/70303	---MCZ	200	added ('OK')	text/css	etag:W/%225f7eae2e-1129f%22	https://junoon.me/wp-content/themes/junoon/style.css?ver=4.9.16	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/themes/junoon/style8d9d.css	(from https://junoon.me/)
13:08:05	34777/34777	---MCZ	200	added ('OK')	text/css	etag:W/%225f7d54e2-87d9%22	https://junoon.me/wp-content/plugins/sassy-social-share/public/css/sassy-social-share-public.css?ver=3.3.13	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/plugins/sassy-social-share/public/css/sassy-social-share-public477e.css	(from https://junoon.me/)
13:08:05	111645/111645	---MCZ	200	added ('OK')	text/css	etag:W/%225f7d54e2-1b41d%22	https://junoon.me/wp-content/plugins/sassy-social-share/admin/css/sassy-social-share-svg.css?ver=3.3.13	C:/Users/vikrant/Website/junoon/junoon.me/wp-content/plugins/sassy-social-share/admin/css/sassy-social-share-svg477e.css	(from https://junoon.me/)
13:08:05	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22573e5d38-2748%22	https://junoon.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/vikrant/Website/junoon/junoon.me/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://junoon.me/)
