date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:56	63/63	---MCZ	200	added ('OK')	text/plain	etag:W/%2235-58d02325-beab5;;;%22	https://demo.graygrids.com/robots.txt		(from )
13:13:57	42218/42218	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:17%20GMT	https://demo.graygrids.com/themes/jobgrids/	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/index.html	(from )
13:13:57	3548/3548	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ddc-5ffb5319-fce7b;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/images/favicon.svg	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/images/favicon.svg	(from https://demo.graygrids.com/themes/jobgrids/)
13:13:59	2052/2052	---MC-	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2007:43:57%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@100;200;300;400;500;600;700;800;900&display=swap	/home/vikrant/websites/jp2/fonts.googleapis.com/css2c948.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:00	197419/197419	---M-Z	200	added ('OK')	text/css	etag:%223032b-5ffb530e-fce74;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/bootstrap.min.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/bootstrap.min.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:01	22375/22375	---MCZ	200	added ('OK')	text/css	etag:W/%226e64-5ffb5310-fce78;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/LineIcons.2.0.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/LineIcons.2.0.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:02	53657/53657	---MCZ	200	added ('OK')	text/css	etag:W/%22113c0-5ffb530e-fce75;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/animate.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/animate.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:03	2096/2096	---MCZ	200	added ('OK')	text/css	etag:W/%22830-5ffb5310-fce79;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/tiny-slider.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/tiny-slider.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:03	13884/13884	---M-Z	200	added ('OK')	text/css	etag:%22363c-5ffb530f-fce77;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/glightbox.min.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/glightbox.min.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:05	113352/113352	---MCZ	200	added ('OK')	text/css	etag:W/%22232b6-5ffb530f-fce76;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/css/main.css	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/css/main.css	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:06	3657/3657	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e49-5ffb5359-13b093;gz%22	https://demo.graygrids.com/themes/jobgrids/assets/images/logo/logo.svg	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/assets/images/logo/logo.svg	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:06	42218/42218	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:17%20GMT	https://demo.graygrids.com/themes/jobgrids/index.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/index-2.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:08	42951/42951	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:17%20GMT	https://demo.graygrids.com/themes/jobgrids/index2.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/index2.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:09	42157/42157	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:16%20GMT	https://demo.graygrids.com/themes/jobgrids/index3.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/index3.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:10	42532/42532	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:24%20GMT	https://demo.graygrids.com/themes/jobgrids/index4.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/index4.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:11	19154/19154	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:30%20GMT	https://demo.graygrids.com/themes/jobgrids/about-us.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/about-us.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:12	18547/18547	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:27%20GMT	https://demo.graygrids.com/themes/jobgrids/job-list.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/job-list.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:12	17853/17853	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:33%20GMT	https://demo.graygrids.com/themes/jobgrids/job-details.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/job-details.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:14	18688/18688	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:15%20GMT	https://demo.graygrids.com/themes/jobgrids/resume.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/resume.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:15	16239/16239	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:18%20GMT	https://demo.graygrids.com/themes/jobgrids/privacy-policy.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/privacy-policy.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:16	15616/15616	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:33%20GMT	https://demo.graygrids.com/themes/jobgrids/faq.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/faq.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:17	14789/14789	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:20%20GMT	https://demo.graygrids.com/themes/jobgrids/pricing.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/pricing.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:18	2439/2439	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:23%20GMT	https://demo.graygrids.com/themes/jobgrids/404.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/404.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:19	2487/2487	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:31%20GMT	https://demo.graygrids.com/themes/jobgrids/mail-success.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/mail-success.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:20	19006/19006	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:32%20GMT	https://demo.graygrids.com/themes/jobgrids/browse-jobs.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/browse-jobs.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:21	20891/20891	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:16%20GMT	https://demo.graygrids.com/themes/jobgrids/browse-categories.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/browse-categories.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:22	19108/19108	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:32%20GMT	https://demo.graygrids.com/themes/jobgrids/add-resume.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/add-resume.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:23	16396/16396	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:30%20GMT	https://demo.graygrids.com/themes/jobgrids/job-alerts.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/job-alerts.html	(from https://demo.graygrids.com/themes/jobgrids/)
13:14:24	16950/16950	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202021%2019:18:28%20GMT	https://demo.graygrids.com/themes/jobgrids/post-job.html	/home/vikrant/websites/jp2/demo.graygrids.com/themes/jobgrids/post-job.html	(from https://demo.graygrids.com/themes/jobgrids/)
